Vehicles,Algorithm,Latency,RSU Utilization
50,MOBILITY,9.667048673138519,0.5330366774541532
50,PROPOSED,9.02572053167598,0.5032362459546925
100,MOBILITY,10.133756277984626,0.5535329018338727
100,PROPOSED,9.565895151210535,0.5304746494066882
200,MOBILITY,11.140629934211281,0.5864347357065803
200,PROPOSED,10.581658299557335,0.5658036677454154
400,MOBILITY,13.170309935901775,0.5974919093851132
400,PROPOSED,12.536170860029038,0.5790183387270765
